epoch,step,train_loss
0,49,0.05527498573064804
0,99,0.033069707453250885
1,149,0.04969372972846031
1,199,0.024644218385219574
2,249,0.040680523961782455
2,299,0.019088014960289
3,349,0.03363668546080589
3,399,0.016524355858564377
4,449,0.03137281909584999
4,499,0.016072873026132584
5,549,0.029374083504080772
5,599,0.01591000147163868
6,649,0.025734519585967064
6,699,0.015376061201095581
7,749,0.02909849025309086
7,799,0.015216661617159843
8,849,0.027245434001088142
8,899,0.01560585293918848
9,949,0.02821463719010353
9,999,0.01605677790939808
